Statistical profiling result from isolate-0x103001400-v8.log, (6927120 ticks, 766593 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  LazyCompile: ~defaultTriggerAsyncIdScope internal/async_hooks.js:275:36
      1    0.0%    0.0%  LazyCompile: ~decodeChunk _stream_writable.js:327:21
      1    0.0%    0.0%  LazyCompile: ~createUnsafeBuffer buffer.js:86:28
      1    0.0%    0.0%  LazyCompile: ~createSingleTimeout timers.js:461:29
      1    0.0%    0.0%  LazyCompile: ~connectToPeer /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/network.js:531:23
      1    0.0%    0.0%  LazyCompile: ~cloneDeep /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/lodash/lodash.js:11086:23
      1    0.0%    0.0%  LazyCompile: ~clear internal/process/next_tick.js:42:8
      1    0.0%    0.0%  LazyCompile: ~checkSkiplistBallsExist /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/catchup.js:322:40
      1    0.0%    0.0%  LazyCompile: ~checkNoReferencesInWitnessAddressDefinitions /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/validation.js:516:55
      1    0.0%    0.0%  LazyCompile: ~checkInputDoubleSpend /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/validation.js:1467:34
      1    0.0%    0.0%  LazyCompile: ~checkForDoublespends /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/validation.js:1068:30
      1    0.0%    0.0%  LazyCompile: ~calcHeadersCommissions /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/headers_commission.js:12:32
      1    0.0%    0.0%  LazyCompile: ~baseKeys /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/lodash/lodash.js:3502:22
      1    0.0%    0.0%  LazyCompile: ~baseGetAllKeys /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/lodash/lodash.js:3071:28
      1    0.0%    0.0%  LazyCompile: ~baseFill /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/lodash/lodash.js:2906:22
      1    0.0%    0.0%  LazyCompile: ~autoEscapeStr url.js:442:23
      1    0.0%    0.0%  LazyCompile: ~async.forEachSeries.async.eachSeries /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/async/lib/async.js:213:33
      1    0.0%    0.0%  LazyCompile: ~assocIndexOf /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/lodash/lodash.js:2501:26
      1    0.0%    0.0%  LazyCompile: ~assertSize buffer.js:210:20
      1    0.0%    0.0%  LazyCompile: ~assert /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/bitcore-lib/node_modules/bn.js/lib/bn.js:7:16
      1    0.0%    0.0%  LazyCompile: ~arrayFilter /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/lodash/lodash.js:574:23
      1    0.0%    0.0%  LazyCompile: ~arrayEach /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/lodash/lodash.js:511:21
      1    0.0%    0.0%  LazyCompile: ~arrayClone events.js:509:20
      1    0.0%    0.0%  LazyCompile: ~alignPool buffer.js:107:19
      1    0.0%    0.0%  LazyCompile: ~afterWrite _stream_writable.js:460:20
      1    0.0%    0.0%  LazyCompile: ~afterConnect net.js:1162:22
      1    0.0%    0.0%  LazyCompile: ~adjustOffset buffer.js:950:22
      1    0.0%    0.0%  LazyCompile: ~addRequest _http_agent.js:138:49
      1    0.0%    0.0%  LazyCompile: ~addBall /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/main_chain.js:1041:25
      1    0.0%    0.0%  LazyCompile: ~_writeRaw _http_outgoing.js:242:19
      1    0.0%    0.0%  LazyCompile: ~_verify2 /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/bitcore-lib/node_modules/bn.js/lib/bn.js:2028:43
      1    0.0%    0.0%  LazyCompile: ~_storeHeader _http_outgoing.js:287:22
      1    0.0%    0.0%  LazyCompile: ~_isAnyOfKeysLocked /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/mutex.js:82:28
      1    0.0%    0.0%  LazyCompile: ~_implicitHeader _http_client.js:290:67
      1    0.0%    0.0%  LazyCompile: ~_finish _http_outgoing.js:788:53
      1    0.0%    0.0%  LazyCompile: ~WritableState _stream_writable.js:41:23
      1    0.0%    0.0%  LazyCompile: ~TLSSocket._releaseControl _tls_wrap.js:608:47
      1    0.0%    0.0%  LazyCompile: ~TLSSocket._init _tls_wrap.js:428:37
      1    0.0%    0.0%  LazyCompile: ~StackPush native array.js:79:19
      1    0.0%    0.0%  LazyCompile: ~StackHas native array.js:85:18
      1    0.0%    0.0%  LazyCompile: ~Socket.connect net.js:982:36
      1    0.0%    0.0%  LazyCompile: ~SecureContext _tls_common.js:34:23
      1    0.0%    0.0%  LazyCompile: ~Script.runInThisContext vm.js:46:45
      1    0.0%    0.0%  LazyCompile: ~Receiver.allocateFromPool /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/ws/lib/Receiver.js:185:47
      1    0.0%    0.0%  LazyCompile: ~NativeModule.require bootstrap_node.js:517:34
      1    0.0%    0.0%  LazyCompile: ~NativeModule.isInternal bootstrap_node.js:566:39
      1    0.0%    0.0%  LazyCompile: ~Module._resolveFilename module.js:514:35
      1    0.0%    0.0%  LazyCompile: ~Module._nodeModulePaths module.js:304:37
      1    0.0%    0.0%  LazyCompile: ~LazyTransform internal/streams/lazy_transform.js:12:23
      1    0.0%    0.0%  LazyCompile: ~BufferList internal/streams/BufferList.js:10:14
      1    0.0%    0.0%  LazyCompile: ~Buffer.write buffer.js:855:34
      1    0.0%    0.0%  LazyCompile: ~Buffer.toString buffer.js:609:37
      1    0.0%    0.0%  LazyCompile: ~Buffer.copy buffer.js:601:33
      1    0.0%    0.0%  LazyCompile: ~<anonymous> net.js:1102:61
      1    0.0%    0.0%  LazyCompile: ~<anonymous> _tls_wrap.js:1093:31
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/ws/lib/Receiver.js:473:38
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/lodash/lodash.js:2705:41
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/lodash/lodash.js:12594:41
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/writer.js:67:109
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/writer.js:491:28
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/writer.js:482:38
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/writer.js:371:114
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/writer.js:267:13
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/validation.js:940:11
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/validation.js:799:12
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/validation.js:562:123
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/validation.js:418:14
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/validation.js:1786:11
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/storage.js:590:49
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/paid_witnessing.js:78:11
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/paid_witnessing.js:108:11
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/network.js:724:11
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/network.js:395:11
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/network.js:1142:13
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/network.js:1131:11
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/main_chain.js:879:12
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/main_chain.js:81:58
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/main_chain.js:528:56
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/main_chain.js:417:61
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/main_chain.js:390:122
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/main_chain.js:387:16
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/main_chain.js:296:43
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/main_chain.js:195:115
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/main_chain.js:173:42
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/main_chain.js:1093:29
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/main_chain.js:1092:14
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/main_chain.js:1008:14
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/main_chain.js:1003:12
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/joint_storage.js:104:157
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/graph.js:209:32
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/device.js:522:40
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/definition.js:604:45
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/definition.js:1154:40
      1    0.0%    0.0%  LazyCompile: ~$getMaxListeners events.js:89:26
      1    0.0%    0.0%  LazyCompile: *validateSpendProofs /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/validation.js:1051:30
      1    0.0%    0.0%  LazyCompile: *update crypto.js:97:40
      1    0.0%    0.0%  LazyCompile: *tryFindNextPeer /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/network.js:391:25
      1    0.0%    0.0%  LazyCompile: *setWitnessedLevel /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/writer.js:423:30
      1    0.0%    0.0%  LazyCompile: *set /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/lodash/lodash.js:13672:17
      1    0.0%    0.0%  LazyCompile: *readUInt16BE /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/ws/lib/Receiver.js:400:22
      1    0.0%    0.0%  LazyCompile: *readNextSpendableMcIndex /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/mc_outputs.js:15:34
      1    0.0%    0.0%  LazyCompile: *readLastUnitProps /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/main_chain.js:43:29
      1    0.0%    0.0%  LazyCompile: *readDescendantUnitsByAuthorsBeforeMcIndex /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/graph.js:173:51
      1    0.0%    0.0%  LazyCompile: *printConnectionStatus /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/network.js:1113:31
      1    0.0%    0.0%  LazyCompile: *normalizeStringPosix path.js:101:30
      1    0.0%    0.0%  LazyCompile: *mask /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/ws/lib/BufferUtil.fallback.js:16:17
      1    0.0%    0.0%  LazyCompile: *listCacheGet /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/lodash/lodash.js:2080:26
      1    0.0%    0.0%  LazyCompile: *isValidBase64 /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/validation_utils.js:82:23
      1    0.0%    0.0%  LazyCompile: *isObject /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/lodash/lodash.js:11742:22
      1    0.0%    0.0%  LazyCompile: *isNonnegativeInteger /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/validation_utils.js:36:30
      1    0.0%    0.0%  LazyCompile: *isFlattenable /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/lodash/lodash.js:6267:27
      1    0.0%    0.0%  LazyCompile: *isArrayLike /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/lodash/lodash.js:11331:25
      1    0.0%    0.0%  LazyCompile: *inspect util.js:290:17
      1    0.0%    0.0%  LazyCompile: *imulK /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/bitcore-lib/node_modules/bn.js/lib/bn.js:1916:38
      1    0.0%    0.0%  LazyCompile: *ifNew /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/network.js:1308:22
      1    0.0%    0.0%  LazyCompile: *iadd /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/bitcore-lib/node_modules/bn.js/lib/bn.js:646:34
      1    0.0%    0.0%  LazyCompile: *handleNonserialUnits /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/main_chain.js:876:31
      1    0.0%    0.0%  LazyCompile: *getStderr internal/process/stdio.js:27:21
      1    0.0%    0.0%  LazyCompile: *getSourceString /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/string_utils.js:11:25
      1    0.0%    0.0%  LazyCompile: *get bootstrap_node.js:315:10
      1    0.0%    0.0%  LazyCompile: *fromArrayLike buffer.js:329:23
      1    0.0%    0.0%  LazyCompile: *findNextPeer /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/network.js:364:22
      1    0.0%    0.0%  LazyCompile: *fastCopy /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/ws/lib/Receiver.js:412:18
      1    0.0%    0.0%  LazyCompile: *checkSkiplistBallsExist /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/catchup.js:322:40
      1    0.0%    0.0%  LazyCompile: *checkNoPendingChangeOfDefinitionChash /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/validation.js:792:48
      1    0.0%    0.0%  LazyCompile: *checkLastBallDidNotRetreat /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/validation.js:368:37
      1    0.0%    0.0%  LazyCompile: *calcCommissions /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/main_chain.js:1082:26
      1    0.0%    0.0%  LazyCompile: *buildPaidWitnesses /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/paid_witnessing.js:181:28
      1    0.0%    0.0%  LazyCompile: *baseSet /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/lodash/lodash.js:3985:21
      1    0.0%    0.0%  LazyCompile: *baseAssign /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/lodash/lodash.js:2538:24
      1    0.0%    0.0%  LazyCompile: *async.series.conn.query.max_spendable_mci /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/headers_commission.js:152:11
      1    0.0%    0.0%  LazyCompile: *afterWrite _stream_writable.js:460:20
      1    0.0%    0.0%  LazyCompile: *_transform zlib.js:360:48
      1    0.0%    0.0%  LazyCompile: *_smallMulTo /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/bitcore-lib/node_modules/bn.js/lib/bn.js:824:48
      1    0.0%    0.0%  LazyCompile: *Receiver.endPacket /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/ws/lib/Receiver.js:254:40
      1    0.0%    0.0%  LazyCompile: *Receiver.allocateFromPool /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/ws/lib/Receiver.js:185:47
      1    0.0%    0.0%  LazyCompile: *LazyTransform internal/streams/lazy_transform.js:12:23
      1    0.0%    0.0%  LazyCompile: *Immediate timers.js:808:19
      1    0.0%    0.0%  LazyCompile: *Buffer.allocUnsafe buffer.js:252:30
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/ws/lib/Receiver.js:463:38
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/lodash/lodash.js:6947:39
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/writer.js:394:109
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/validation.js:839:12
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/validation.js:747:14
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/validation.js:657:39
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/validation.js:270:65
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/validation.js:208:13
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/validation.js:175:35
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/validation.js:1054:52
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/paid_witnessing.js:66:46
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/paid_witnessing.js:184:121
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/paid_witnessing.js:154:83
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/paid_witnessing.js:124:94
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/paid_witnessing.js:119:56
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/object_hash.js:57:40
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/network.js:212:30
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/main_chain.js:904:14
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/main_chain.js:879:12
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/main_chain.js:291:13
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/main_chain.js:195:115
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/main_chain.js:194:119
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/main_chain.js:174:81
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/main_chain.js:1084:12
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/main_chain.js:1008:14
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/joint_storage.js:89:39
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/joint_storage.js:74:36
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/joint_storage.js:40:110
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/joint_storage.js:105:37
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/headers_commission.js:159:13
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/catchup.js:295:33
      1    0.0%    0.0%  Handler: An IC handler from the snapshot {3}
      1    0.0%    0.0%  Builtin: Subtract
      1    0.0%    0.0%  Builtin: StoreIC_Uninitialized
      1    0.0%    0.0%  Builtin: RegExpPrototypeExec
      1    0.0%    0.0%  Builtin: ObjectGetOwnPropertySymbols
      1    0.0%    0.0%  Builtin: Multiply
      1    0.0%    0.0%  Builtin: Modulus
      1    0.0%    0.0%  Builtin: MathRandom
      1    0.0%    0.0%  Builtin: MathCeil
      1    0.0%    0.0%  Builtin: LoadIC_Uninitialized
      1    0.0%    0.0%  Builtin: InterpreterPushArgsThenConstructFunction
      1    0.0%    0.0%  Builtin: FastFunctionPrototypeBind
      1    0.0%    0.0%  Builtin: DateConstructor_ConstructStub
      1    0.0%    0.0%  Builtin: CheckOptimizationMarker
      1    0.0%    0.0%  Builtin: ArraySplice
      1    0.0%    0.0%  Builtin: ArraySlice
      1    0.0%    0.0%  Builtin: ArrayIncludes
      1    0.0%    0.0%  Builtin: ArrayConcat
      1    0.0%    0.0%  Builtin: AllocateInNewSpace

 [C++]:
   ticks  total  nonlib   name
  2918101   42.1%   43.0%  T _kpersona_get
  1191065   17.2%   17.5%  T _mach_vm_purgable_control
  118353    1.7%    1.7%  t _szone_malloc_should_clear
  86903    1.3%    1.3%  T _vm_read
  50794    0.7%    0.7%  T v8::internal::TransitionArray::Search(v8::internal::PropertyKind, v8::internal::Name*, v8::internal::PropertyAttributes, int*)
  36635    0.5%    0.5%  t _update_cache_for_file_streams
  33329    0.5%    0.5%  t ___vfprintf
  27302    0.4%    0.4%  t _uv__async_io
  24670    0.4%    0.4%  t _tiny_malloc_from_free_list
  23015    0.3%    0.3%  t _uv__io_poll
  22500    0.3%    0.3%  T v8::Array::New(v8::Isolate*, int)
  21049    0.3%    0.3%  t __platform_memmove$VARIANT$Base
  17982    0.3%    0.3%  T v8::Isolate::GetCurrent()
  17487    0.3%    0.3%  T __kernelrpc_vm_remap
  17290    0.2%    0.3%  T v8::String::NewFromUtf8(v8::Isolate*, char const*, v8::NewStringType, int)
  16726    0.2%    0.2%  T v8::internal::TransitionArray::SearchDetails(int, v8::internal::PropertyKind, v8::internal::PropertyAttributes, int*)
  16562    0.2%    0.2%  t v8::internal::Heap::AllocateRaw(int, v8::internal::AllocationSpace, v8::internal::AllocationAlignment)
  15687    0.2%    0.2%  t node::(anonymous namespace)::After(uv_fs_s*)
  14969    0.2%    0.2%  T v8::internal::StringTable::LookupKey(v8::internal::Isolate*, v8::internal::StringTableKey*)
  14789    0.2%    0.2%  T v8::Value::IsFunction() const
  14605    0.2%    0.2%  t int v8::internal::BinarySearch<(v8::internal::SearchMode)1, v8::internal::DescriptorArray>(v8::internal::DescriptorArray*, v8::internal::Name*, int, int*)
  14564    0.2%    0.2%  t v8::internal::LookupIterator::State v8::internal::LookupIterator::LookupInRegularHolder<false>(v8::internal::Map*, v8::internal::JSReceiver*)
  14198    0.2%    0.2%  t v8::internal::(anonymous namespace)::Invoke(v8::internal::Isolate*, bool, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>, int, v8::internal::Handle<v8::internal::Object>*, v8::internal::Handle<v8::internal::Object>, v8::internal::Execution::MessageHandling)
  13813    0.2%    0.2%  T v8::internal::JSObject::MigrateToMap(v8::internal::Handle<v8::internal::JSObject>, v8::internal::Handle<v8::internal::Map>, int)
  13416    0.2%    0.2%  T v8::HandleScope::Initialize(v8::Isolate*)
  11582    0.2%    0.2%  t v8::internal::GlobalHandles::Node::Release()
  10785    0.2%    0.2%  T v8::internal::Factory::NewStringFromUtf8(v8::internal::Vector<char const>, v8::internal::PretenureFlag)
  10721    0.2%    0.2%  T v8::internal::String::SlowEquals(v8::internal::String*)
  10694    0.2%    0.2%  T v8::Locker::IsActive()
  10518    0.2%    0.2%  t _uv__work_done
  10129    0.1%    0.1%  t v8::internal::LookupIterator::LookupIterator(v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Name>, v8::internal::LookupIterator::Configuration)
